MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,timestamp,y_pred_proba,y_pred
3.4583,24.0,5.207100591715976,1.106508875739645,507.0,3.0,33.81,-116.25,2021-06-01 00:00:00,0.18,0
2.025,33.0,3.432098765432099,1.123456790123457,375.0,4.62962962962963,33.75,-116.25,2021-06-01 01:00:00,0.09,0
3.775,25.0,5.6,1.1112299465240645,2725.0,2.914438502673797,33.72,-116.24,2021-06-01 02:00:00,0.27,0
2.7598,10.0,4.895934959349593,1.205420054200542,5525.0,2.994579945799458,33.71,-116.24,2021-06-01 03:00:00,0.28,0
3.0682,14.0,5.4930693069306935,1.120792079207921,1530.0,3.0297029702970297,33.73,-116.24,2021-06-01 04:00:00,0.14,0
3.3107,26.0,5.0552147239263805,1.052760736196319,2918.0,3.5803680981595094,33.74,-116.22,2021-06-01 05:00:00,0.26,0
3.0673,22.0,4.425742574257426,0.9504950495049505,830.0,4.108910891089109,33.75,-116.21,2021-06-01 06:00:00,0.11,0
2.3169,28.0,3.680473372781065,1.0562130177514792,2891.0,4.276627218934912,33.72,-116.21,2021-06-01 07:00:00,0.1,0
2.1217,38.0,5.557377049180328,1.1540983606557378,1279.0,4.19344262295082,33.73,-116.22,2021-06-01 08:00:00,0.07,0
2.8648,29.0,4.7405857740585775,0.9246861924686192,918.0,3.8410041841004174,33.73,-116.23,2021-06-01 09:00:00,0.16,0
1.7083,19.0,4.033678756476684,1.0194300518134716,3157.0,4.089378238341969,33.71,-116.21,2021-06-01 10:00:00,0.1,0
1.7172,28.0,3.3714285714285714,1.053061224489796,979.0,3.9959183673469383,33.72,-116.22,2021-06-01 11:00:00,0.16,0
2.2989,26.0,4.48411214953271,1.1682242990654206,2654.0,4.960747663551402,33.7,-116.2,2021-06-01 12:00:00,0.16,0
1.7805,32.0,4.199831365935919,1.118043844856661,3779.0,3.186340640809444,33.72,-116.23,2021-06-01 13:00:00,0.18,0
2.444,17.0,3.921158487530169,1.0852775543041029,5032.0,4.04827031375704,33.71,-116.23,2021-06-01 14:00:00,0.3,0
2.9286,22.0,2.8142857142857145,0.7714285714285715,331.0,4.728571428571429,33.69,-116.15,2021-06-01 15:00:00,0.17,0
2.0871,20.0,3.5859154929577466,0.9971830985915492,1548.0,4.3605633802816905,33.64,-116.11,2021-06-01 16:00:00,0.09,0
1.6557,10.0,3.8623024830699775,1.1264108352144468,1896.0,4.279909706546276,33.64,-116.15,2021-06-01 17:00:00,0.14,0
2.5,23.0,4.902127659574468,1.1617021276595745,1077.0,4.582978723404255,33.63,-116.2,2021-06-01 18:00:00,0.06,0
3.8846,19.0,5.659574468085107,1.046099290780142,1201.0,4.25886524822695,33.66,-116.21,2021-06-01 19:00:00,0.12,0
1.5809,34.0,3.5180722891566263,1.0602409638554218,625.0,3.765060240963856,33.68,-116.21,2021-06-01 20:00:00,0.17,0
3.0114,16.0,7.847457627118644,1.6016949152542372,238.0,2.016949152542373,33.68,-116.25,2021-06-01 21:00:00,0.21,0
10.2948,3.0,24.625827814569536,4.046357615894039,574.0,1.900662251655629,33.65,-116.26,2021-06-01 22:00:00,0.39,0
2.1287,13.0,3.875565610859729,1.158371040723982,1978.0,4.475113122171946,33.53,-116.17,2021-06-01 23:00:00,0.11,0
1.654,17.0,3.534306569343065,1.197080291970803,2971.0,4.337226277372263,33.53,-116.12,2021-06-02 00:00:00,0.18,0
1.7344,24.0,3.298342541436464,1.058563535911602,4042.0,4.466298342541436,33.51,-116.01,2021-06-02 01:00:00,0.22,0
2.0347,20.0,6.64,1.516,637.0,2.548,33.49,-115.84,2021-06-02 02:00:00,0.04,0
2.2679,12.0,4.730769230769231,1.0653846153846154,1334.0,5.130769230769231,33.68,-116.16,2021-06-02 03:00:00,0.06,0
2.5714,18.0,4.549492385786802,1.015228426395939,3873.0,4.91497461928934,33.67,-116.17,2021-06-02 04:00:00,0.18,0
1.9306,22.0,4.176470588235294,1.326797385620915,664.0,4.339869281045751,33.66,-116.17,2021-06-02 05:00:00,0.02,0
1.7297,16.0,3.89727463312369,0.9979035639412998,1994.0,4.180293501048218,33.67,-116.19,2021-06-02 06:00:00,0.09,0
2.2141,25.0,4.375757575757576,0.990909090909091,2940.0,4.454545454545454,33.67,-116.18,2021-06-02 07:00:00,0.05,0
2.375,17.0,4.238095238095238,0.9047619047619048,79.0,3.761904761904762,33.69,-116.18,2021-06-02 08:00:00,0.2,0
2.5383,11.0,4.471327572663001,1.0573448546739983,5682.0,4.463472113118617,33.69,-116.19,2021-06-02 09:00:00,0.33,0
2.425,16.0,5.08,1.1866666666666668,182.0,2.4266666666666667,33.86,-116.08,2021-06-02 10:00:00,0.16,0
1.625,18.0,6.028268551236749,1.4028268551236749,3424.0,12.098939929328624,33.54,-115.22,2021-06-02 11:00:00,0.26,0
1.2656,17.0,6.466666666666667,1.6,29.0,1.9333333333333331,33.92,-114.67,2021-06-02 12:00:00,0.16,0
3.1827,21.0,6.241935483870968,1.5161290322580645,724.0,3.89247311827957,33.88,-115.58,2021-06-02 13:00:00,0.11,0
3.2097,15.0,12.384615384615383,2.480769230769231,137.0,2.6346153846153846,33.82,-114.98,2021-06-02 14:00:00,0.15,0
1.6154,17.0,62.422222222222224,14.11111111111111,83.0,1.8444444444444448,33.97,-114.49,2021-06-02 15:00:00,0.07,0
2.9653,28.0,6.5546875,1.2578125,666.0,2.6015625,33.6,-114.65,2021-06-02 16:00:00,0.18,0
1.6395,20.0,4.920792079207921,1.188118811881188,1135.0,3.745874587458746,33.49,-114.68,2021-06-02 17:00:00,0.03,0
1.6509,17.0,6.153846153846154,1.4871794871794872,333.0,2.8461538461538463,33.69,-114.56,2021-06-02 18:00:00,0.04,0
3.1917,14.0,6.641592920353983,1.491150442477876,515.0,2.2787610619469025,33.64,-114.57,2021-06-02 19:00:00,0.17,0
1.925,20.0,5.549618320610687,1.2442748091603053,624.0,2.381679389312977,33.57,-114.57,2021-06-02 20:00:00,0.12,0
2.0833,27.0,5.088235294117647,1.0294117647058822,117.0,3.4411764705882355,33.52,-114.57,2021-06-02 21:00:00,0.18,0
2.1782,34.0,4.535037878787879,1.112689393939394,3134.0,2.9678030303030303,33.61,-114.59,2021-06-02 22:00:00,0.29,0
2.1759,16.0,4.904958677685951,1.078512396694215,1115.0,4.607438016528926,33.62,-114.61,2021-06-02 23:00:00,0.03,0
2.6797,16.0,4.540048543689321,0.9720873786407768,2434.0,2.953883495145631,33.62,-114.6,2021-06-03 00:00:00,0.39,0
3.3438,29.0,5.803347280334728,0.98744769874477,671.0,2.807531380753138,33.63,-114.58,2021-06-03 01:00:00,0.15,0
0.536,26.0,6.0,1.0,5.0,1.6666666666666667,33.62,-114.62,2021-06-03 02:00:00,0.28,0
2.6768,25.0,4.592417061611374,1.0742496050552923,1841.0,2.9083728278041074,33.61,-114.58,2021-06-03 03:00:00,0.3,0
1.625,21.0,4.549199084668192,1.105263157894737,1182.0,2.704805491990846,33.6,-114.6,2021-06-03 04:00:00,0.11,0
3.9167,35.0,5.771241830065359,1.03921568627451,1933.0,2.105664488017429,38.58,-121.43,2021-06-03 05:00:00,0.28,0
4.0972,38.0,5.595982142857143,0.9955357142857144,888.0,1.9821428571428568,38.57,-121.43,2021-06-03 06:00:00,0.34,0
3.7731,38.0,5.491228070175438,0.9883040935672516,710.0,2.076023391812865,38.57,-121.42,2021-06-03 07:00:00,0.26,0
3.9271,43.0,5.296187683284457,0.9941348973607038,764.0,2.2404692082111435,38.58,-121.44,2021-06-03 08:00:00,0.25,0
3.5893,46.0,5.3457330415754925,1.0415754923413567,939.0,2.054704595185996,38.57,-121.43,2021-06-03 09:00:00,0.27,0
3.776,52.0,6.222222222222222,1.101010101010101,975.0,1.9696969696969695,38.57,-121.44,2021-06-03 10:00:00,0.33,0
3.0208,42.0,5.233183856502242,0.9753363228699552,892.0,2.0,38.58,-121.44,2021-06-03 11:00:00,0.12,0
3.4914,44.0,5.963917525773196,1.0695876288659794,796.0,2.051546391752577,38.58,-121.45,2021-06-03 12:00:00,0.24,0
3.5313,48.0,5.419889502762431,0.9834254143646408,704.0,1.9447513812154693,38.57,-121.45,2021-06-03 13:00:00,0.25,0
3.8914,52.0,5.673101673101673,1.0386100386100383,1604.0,2.0643500643500645,38.58,-121.46,2021-06-03 14:00:00,0.35,0
1.7765,40.0,3.9490084985835696,1.1246458923512748,689.0,1.951841359773371,38.58,-121.46,2021-06-03 15:00:00,0.06,0
1.5922,44.0,3.962121212121212,1.0511363636363635,878.0,1.6628787878787878,38.58,-121.47,2021-06-03 16:00:00,0.06,0
