identifier,clf_target
5904,0
5905,1
5906,1
5907,1
5908,1
5909,1
5910,1
5911,0
5912,0
5913,0
5914,1
5915,1
5916,0
5917,0
5918,0
5919,0
5920,1
5921,0
5922,0
5923,0
5924,0
5925,0
5926,0
5927,0
5928,1
5929,0
5930,0
5931,1
5932,1
5933,0
5934,1
5935,1
5936,1
5937,1
5938,1
5939,1
5940,1
5941,1
5942,1
5943,1
5944,1
5945,1
5946,1
5947,1
5948,1
5949,1
5950,1
5951,1
5952,0
5953,1
5954,0
5955,1
5956,1
5957,1
5958,0
5959,0
5960,0
5961,1
5962,1
5963,0
5964,0
5965,0
5966,0
5967,1
5968,0
5969,0
5970,1
5971,1
5972,0
5973,0
5974,0
5975,0
5976,1
5977,1
5978,1
5979,1
5980,0
5981,0
5982,0
5983,1
5984,0
5985,0
5986,0
5987,1
5988,0
5989,0
5990,1
5991,1
5992,0
5993,0
5994,0
5995,0
5996,0
5997,0
5998,1
5999,0
6000,1
6001,0
6002,1
6003,0
6004,1
6005,1
6006,0
6007,0
6008,1
6009,1
6010,1
6011,1
6012,0
6013,1
6014,0
6015,0
6016,1
6017,1
6018,1
6019,1
6020,1
6021,0
6022,0
6023,0
6024,1
6025,0
6026,1
6027,0
6028,0
6029,0
6030,0
6031,0
6032,0
6033,0
6034,0
6035,0
6036,0
6037,0
6038,0
6039,0
6040,0
6041,0
6042,0
6043,0
6044,0
6045,0
6046,0
6047,0
6048,0
6049,0
6050,0
6051,0
6052,0
6053,0
6054,0
6055,0
6056,0
6057,1
6058,0
6059,0
6060,0
6061,0
6062,0
6063,0
6064,0
6065,0
6066,0
6067,0
6068,0
6069,0
6070,0
6071,0
6072,1
6073,0
6074,0
6075,0
6076,0
6077,0
6078,0
6079,0
6080,0
6081,0
6082,0
6083,0
6084,0
6085,0
6086,0
6087,0
6088,0
6089,1
6090,1
6091,1
6092,1
6093,1
6094,0
6095,0
6096,0
6097,0
6098,0
6099,0
6100,0
6101,0
6102,0
6103,0
6104,0
6105,0
6106,0
6107,0
6108,0
6109,0
6110,0
6111,0
6112,0
6113,0
6114,0
6115,0
6116,0
6117,0
6118,0
6119,0
6120,0
6121,0
6122,0
6123,0
6124,0
6125,0
6126,0
6127,0
6128,0
6129,0
6130,0
6131,0
6132,0
6133,0
6134,0
6135,0
6136,0
6137,0
6138,0
6139,0
6140,0
6141,0
6142,0
6143,0
6144,0
6145,0
6146,0
6147,0
6148,0
6149,0
6150,1
6151,0
6152,0
6153,1
6154,0
6155,0
6156,0
6157,1
6158,0
6159,0
6160,0
6161,0
6162,0
6163,0
6164,0
6165,0
6166,0
6167,0
6168,1
6169,0
6170,0
6171,0
6172,0
6173,0
6174,0
6175,0
6176,0
6177,0
6178,0
6179,0
6180,0
6181,1
6182,0
6183,0
6184,0
6185,1
6186,0
6187,0
6188,1
6189,1
6190,1
6191,1
6192,1
6193,1
6194,1
6195,0
6196,1
6197,1
6198,1
6199,1
6200,0
6201,1
6202,1
6203,1
6204,1
6205,1
6206,1
6207,0
6208,0
6209,0
6210,0
6211,1
6212,0
6213,0
6214,0
6215,0
6216,0
6217,0
6218,0
6219,0
6220,0
6221,0
6222,0
6223,0
6224,0
6225,0
6226,0
6227,0
6228,0
6229,0
6230,0
6231,0
6232,0
6233,0
6234,0
6235,1
6236,0
6237,0
6238,0
6239,0
6240,1
6241,0
6242,0
6243,0
6244,0
6245,0
6246,0
6247,0
6248,0
6249,0
6250,0
6251,0
6252,0
6253,1
6254,1
6255,0
6256,0
6257,1
6258,1
6259,1
6260,1
6261,1
6262,1
6263,1
6264,0
6265,1
6266,0
6267,0
6268,0
6269,1
6270,0
6271,1
6272,1
6273,0
6274,1
6275,1
6276,1
6277,1
6278,1
6279,1
6280,0
6281,0
6282,0
6283,0
6284,1
6285,1
6286,1
6287,0
6288,1
6289,0
6290,1
6291,0
6292,1
6293,1
6294,1
6295,0
6296,0
6297,0
6298,0
6299,0
6300,0
6301,0
6302,0
6303,0
6304,0
6305,0
6306,0
6307,0
6308,1
6309,0
6310,1
6311,1
6312,0
6313,0
6314,0
6315,1
6316,0
6317,0
6318,0
6319,0
6320,0
6321,0
6322,0
6323,0
6324,0
6325,0
6326,0
6327,0
6328,1
6329,0
6330,1
6331,0
6332,1
6333,0
6334,0
6335,0
6336,0
6337,0
6338,0
6339,0
6340,0
6341,0
6342,0
6343,0
6344,1
6345,0
6346,0
6347,0
6348,1
6349,0
6350,0
6351,0
6352,0
6353,1
6354,0
6355,0
6356,0
6357,0
6358,0
6359,0
6360,0
6361,0
6362,0
6363,0
6364,0
6365,0
6366,0
6367,0
6368,0
6369,1
6370,0
6371,0
6372,0
6373,0
6374,0
6375,0
6376,1
6377,0
6378,0
6379,0
6380,0
6381,0
6382,0
6383,0
6384,0
6385,0
6386,0
6387,1
6388,1
6389,0
6390,0
6391,1
6392,0
6393,1
6394,1
6395,0
6396,1
6397,0
6398,1
6399,1
6400,1
6401,1
6402,1
6403,1
6404,1
6405,1
6406,1
6407,1
6408,1
6409,0
6410,1
6411,1
6412,1
6413,0
6414,1
6415,1
6416,1
6417,0
6418,0
6419,0
6420,0
6421,0
6422,0
6423,0
6424,0
6425,0
6426,0
6427,0
6428,0
6429,0
6430,0
6431,0
6432,0
6433,0
6434,0
6435,0
6436,0
6437,0
6438,0
6439,0
6440,0
6441,0
6442,0
6443,0
6444,0
6445,0
6446,0
6447,0
6448,0
6449,0
6450,0
6451,0
6452,0
6453,0
6454,0
6455,0
6456,0
6457,0
6458,0
6459,0
6460,1
6461,0
6462,0
6463,0
6464,1
6465,0
6466,0
6467,0
6468,0
6469,0
6470,1
6471,0
6472,0
6473,0
6474,0
6475,0
6476,0
6477,0
6478,0
6479,0
6480,0
6481,0
6482,0
6483,0
6484,0
6485,0
6486,0
6487,0
6488,0
6489,0
6490,1
6491,0
6492,0
6493,0
6494,0
6495,0
6496,0
6497,0
6498,0
6499,1
6500,1
6501,0
6502,0
6503,0
6504,0
6505,1
6506,1
6507,0
6508,0
6509,0
6510,0
6511,0
6512,0
6513,0
6514,0
6515,0
6516,0
6517,0
6518,0
6519,0
6520,0
6521,0
6522,0
6523,0
6524,0
6525,0
6526,0
6527,0
6528,0
6529,0
6530,0
6531,1
6532,0
6533,1
6534,0
6535,0
6536,0
6537,0
6538,0
6539,0
6540,1
6541,0
6542,0
6543,0
6544,0
6545,1
6546,0
6547,1
6548,1
6549,1
6550,1
6551,1
6552,0
6553,0
6554,0
6555,0
6556,0
6557,0
6558,0
6559,0
6560,1
6561,1
6562,0
6563,1
6564,1
6565,0
6566,1
6567,1
6568,0
6569,0
6570,0
6571,0
6572,0
6573,0
6574,0
6575,0
6576,0
6577,1
6578,1
6579,0
6580,0
6581,1
6582,1
6583,1
6584,1
6585,0
6586,1
6587,1
6588,1
6589,0
6590,0
6591,0
6592,0
6593,0
6594,0
6595,0
6596,0
6597,0
6598,1
6599,1
6600,0
6601,0
6602,0
6603,0
6604,0
6605,0
6606,0
6607,0
6608,0
6609,0
6610,0
6611,0
6612,0
6613,0
6614,0
6615,0
6616,0
6617,0
6618,0
6619,0
6620,0
6621,1
6622,1
6623,0
6624,0
6625,0
6626,0
6627,0
6628,0
6629,0
6630,0
6631,0
6632,0
6633,0
6634,0
6635,0
6636,0
6637,0
6638,0
6639,0
6640,0
6641,0
6642,0
6643,0
6644,0
6645,0
6646,0
6647,0
6648,0
6649,0
6650,1
6651,0
6652,0
6653,0
6654,1
6655,0
6656,0
6657,0
6658,1
6659,0
6660,0
6661,0
6662,1
6663,0
6664,0
6665,0
6666,0
6667,0
6668,0
6669,0
6670,0
6671,0
6672,1
6673,0
6674,0
6675,0
6676,0
6677,0
6678,0
6679,1
6680,0
6681,0
6682,0
6683,0
6684,0
6685,1
6686,1
6687,0
6688,1
6689,1
6690,0
6691,0
6692,1
6693,0
6694,0
6695,0
6696,0
6697,0
6698,0
6699,0
6700,1
6701,1
6702,0
6703,0
6704,0
6705,0
6706,0
6707,0
6708,0
6709,0
6710,0
6711,0
6712,0
6713,0
6714,0
6715,0
6716,0
6717,0
6718,0
6719,0
6720,0
6721,0
6722,0
6723,0
6724,0
6725,0
6726,0
6727,0
6728,0
6729,0
6730,0
6731,0
6732,1
6733,0
6734,0
6735,1
6736,1
6737,1
6738,1
6739,1
6740,0
6741,0
6742,1
6743,1
6744,0
6745,0
6746,0
6747,0
6748,0
6749,0
6750,0
6751,0
6752,0
6753,0
6754,0
6755,0
6756,0
6757,0
6758,0
6759,0
6760,0
6761,0
6762,0
6763,0
6764,0
6765,0
6766,0
6767,0
6768,0
6769,0
6770,0
6771,0
6772,0
6773,0
6774,0
6775,0
6776,0
6777,1
6778,0
6779,1
6780,1
6781,0
6782,1
6783,1
6784,1
6785,0
6786,0
6787,0
6788,0
6789,0
6790,0
6791,0
6792,0
6793,0
6794,0
6795,0
6796,0
6797,0
6798,0
6799,0
6800,0
6801,0
6802,1
6803,0
6804,1
6805,0
6806,0
6807,1
6808,1
6809,1
6810,1
6811,1
6812,1
6813,1
6814,1
6815,1
6816,0
6817,1
6818,0
6819,0
6820,0
6821,0
6822,0
6823,0
6824,0
6825,0
6826,0
6827,0
6828,0
6829,0
6830,0
6831,0
6832,0
6833,0
6834,0
6835,0
6836,0
6837,0
6838,0
6839,0
6840,0
6841,0
6842,0
6843,0
6844,0
6845,0
6846,0
6847,0
6848,0
6849,0
6850,0
6851,0
6852,0
6853,0
6854,0
6855,0
6856,0
6857,0
6858,0
6859,0
6860,0
6861,0
6862,0
6863,0
6864,0
6865,0
6866,0
6867,0
6868,0
6869,0
6870,0
6871,0
6872,0
6873,0
6874,0
6875,0
6876,0
6877,0
6878,0
6879,0
6880,0
6881,1
6882,1
6883,1
6884,1
6885,1
6886,1
6887,0
6888,0
6889,0
6890,0
6891,0
6892,0
6893,0
6894,0
6895,0
6896,0
6897,0
6898,0
6899,0
6900,0
6901,0
6902,0
6903,0
6904,0
6905,0
6906,0
6907,1
6908,0
6909,1
6910,1
6911,0
6912,1
6913,1
6914,1
6915,1
6916,1
6917,0
6918,1
6919,0
6920,0
6921,0
6922,1
6923,1
6924,1
6925,1
6926,1
6927,1
6928,1
6929,1
6930,0
6931,1
6932,0
6933,0
6934,0
6935,1
6936,0
6937,0
6938,0
6939,0
6940,0
6941,1
6942,0
6943,0
6944,0
6945,0
6946,0
6947,0
6948,0
6949,0
6950,0
6951,1
6952,0
6953,0
6954,0
6955,0
6956,0
6957,0
6958,0
6959,0
6960,0
6961,0
6962,0
6963,0
6964,0
6965,0
6966,0
6967,0
6968,0
6969,0
6970,0
6971,0
6972,0
6973,0
6974,0
6975,0
6976,0
6977,0
6978,0
6979,0
6980,0
