MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,timestamp,clf_target,y_pred_proba,y_pred
9.8413,32.0,7.17004048582996,1.0148448043184886,4353.0,2.937246963562753,34.22,-118.19,2020-10-01 00:00:00,1,0.99,1
8.3695,37.0,7.458745874587459,1.062706270627063,941.0,3.1056105610561056,34.22,-118.21,2020-10-01 01:00:00,1,1.0,1
8.72,44.0,6.163179916317992,1.0460251046025104,668.0,2.794979079497908,34.2,-118.18,2020-10-01 02:00:00,1,1.0,1
7.419,41.0,6.725165562913907,0.9735099337748344,859.0,2.8443708609271523,34.2,-118.19,2020-10-01 03:00:00,1,1.0,1
6.553,41.0,7.12,1.0133333333333334,680.0,3.022222222222222,34.21,-118.19,2020-10-01 04:00:00,1,1.0,1
7.8375,40.0,6.59375,1.0178571428571428,609.0,2.71875,34.21,-118.2,2020-10-01 05:00:00,1,1.0,1
6.7571,42.0,6.665178571428571,1.0580357142857142,665.0,2.96875,34.21,-118.2,2020-10-01 06:00:00,1,1.0,1
4.7734,41.0,6.572549019607843,1.031372549019608,757.0,2.9686274509803923,34.21,-118.21,2020-10-01 07:00:00,1,1.0,1
8.4802,34.0,6.895397489539749,1.0104602510460252,1268.0,2.6527196652719667,34.23,-118.22,2020-10-01 08:00:00,1,1.0,1
9.2463,39.0,8.12972972972973,1.0432432432432432,1240.0,3.3513513513513518,34.22,-118.21,2020-10-01 09:00:00,1,1.0,1
7.0059,39.0,6.681592039800995,1.037313432835821,1094.0,2.7213930348258706,34.22,-118.22,2020-10-01 10:00:00,1,1.0,1
5.9771,37.0,6.088495575221239,1.0486725663716814,618.0,2.734513274336283,34.22,-118.23,2020-10-01 11:00:00,1,1.0,1
6.3794,35.0,6.827715355805244,1.0337078651685394,1409.0,2.6385767790262173,34.2,-118.21,2020-10-01 12:00:00,1,1.0,1
6.987,44.0,6.736596736596737,1.020979020979021,1219.0,2.841491841491841,34.2,-118.2,2020-10-01 13:00:00,1,1.0,1
15.0001,48.0,8.845161290322581,1.0580645161290323,528.0,3.4064516129032256,34.19,-118.18,2020-10-01 14:00:00,1,0.99,1
15.0001,34.0,8.114173228346457,1.0236220472440944,825.0,3.248031496062992,34.19,-118.19,2020-10-01 15:00:00,1,1.0,1
15.0001,38.0,8.954732510288066,1.0946502057613168,798.0,3.2839506172839505,34.19,-118.2,2020-10-01 16:00:00,1,0.99,1
9.0702,43.0,7.335051546391752,1.0154639175257731,1467.0,2.520618556701031,34.17,-118.18,2020-10-01 17:00:00,1,1.0,1
9.4987,34.0,7.00979020979021,1.0433566433566437,1699.0,2.3762237762237763,34.16,-118.18,2020-10-01 18:00:00,1,1.0,1
2.2328,46.0,4.890350877192983,1.0701754385964912,1985.0,4.353070175438597,34.18,-118.15,2020-10-01 19:00:00,0,0.2,0
2.0278,46.0,5.189024390243903,1.1341463414634143,1740.0,3.5365853658536586,34.17,-118.15,2020-10-01 20:00:00,0,0.41,0
1.8932,44.0,4.782608695652174,0.9948849104859336,1345.0,3.4398976982097187,34.18,-118.16,2020-10-01 21:00:00,0,0.39,0
2.4135,48.0,4.207407407407407,1.0740740740740742,559.0,4.140740740740741,34.18,-118.16,2020-10-01 22:00:00,0,0.37,0
3.1741,52.0,5.398190045248869,1.0316742081447965,703.0,3.180995475113122,34.17,-118.16,2020-10-01 23:00:00,0,0.78,0
2.8472,44.0,5.169741697416974,0.9077490774907748,607.0,2.2398523985239853,34.18,-118.17,2020-10-02 00:00:00,1,0.85,1
3.3125,42.0,4.890675241157556,1.0289389067524115,1118.0,3.594855305466238,34.18,-118.15,2020-10-02 01:00:00,0,0.75,0
2.2326,42.0,4.761467889908257,1.0596330275229358,1641.0,3.763761467889908,34.19,-118.16,2020-10-02 02:00:00,0,0.22,0
3.5887,44.0,5.26378896882494,1.0767386091127098,1377.0,3.302158273381295,34.19,-118.16,2020-10-02 03:00:00,0,0.87,1
4.375,38.0,5.40084388185654,0.9746835443037974,828.0,3.4936708860759493,34.18,-118.17,2020-10-02 04:00:00,0,0.9,1
4.0985,45.0,5.737179487179487,1.0128205128205128,1035.0,3.3173076923076925,34.19,-118.17,2020-10-02 05:00:00,1,0.97,1
4.0714,42.0,5.843501326259947,1.0928381962864722,1012.0,2.684350132625995,34.19,-118.13,2020-10-02 06:00:00,1,0.98,1
3.5164,47.0,5.970639032815199,1.07426597582038,1700.0,2.936096718480138,34.18,-118.14,2020-10-02 07:00:00,1,0.69,0
3.7222,49.0,5.846689895470384,0.9651567944250872,737.0,2.56794425087108,34.19,-118.14,2020-10-02 08:00:00,1,0.86,1
2.3967,38.0,4.278728606356968,1.0048899755501222,1398.0,3.4180929095354524,34.19,-118.15,2020-10-02 09:00:00,0,0.57,0
5.894,47.0,6.0055401662049865,0.9750692520775625,902.0,2.4986149584487536,34.18,-118.1,2020-10-02 10:00:00,1,0.99,1
5.9009,52.0,7.287755102040816,1.0408163265306123,1434.0,2.926530612244898,34.18,-118.11,2020-10-02 11:00:00,1,1.0,1
6.3467,44.0,6.994065281899109,1.0148367952522257,891.0,2.643916913946588,34.18,-118.12,2020-10-02 12:00:00,1,0.99,1
6.4223,52.0,6.340163934426229,1.0635245901639343,1309.0,2.682377049180328,34.18,-118.13,2020-10-02 13:00:00,1,1.0,1
4.7241,46.0,5.375757575757576,0.9545454545454546,753.0,2.2818181818181817,34.17,-118.1,2020-10-02 14:00:00,1,0.99,1
3.2813,48.0,5.5,1.1336633663366336,421.0,2.084158415841584,34.17,-118.1,2020-10-02 15:00:00,1,0.9,1
4.99,50.0,5.929701230228471,1.0509666080843585,1484.0,2.6080843585237257,34.17,-118.11,2020-10-02 16:00:00,1,1.0,1
3.1115,46.0,5.167577413479052,1.0783242258652097,1453.0,2.6466302367941714,34.17,-118.11,2020-10-02 17:00:00,1,0.92,1
3.4777,47.0,4.873180873180873,1.0665280665280663,1537.0,3.1954261954261955,34.18,-118.12,2020-10-02 18:00:00,1,0.75,0
5.8309,52.0,6.477876106194691,0.9336283185840708,603.0,2.668141592920354,34.18,-118.13,2020-10-02 19:00:00,1,1.0,1
2.2692,37.0,4.449013157894737,1.111842105263158,1551.0,2.5509868421052637,34.17,-118.12,2020-10-02 20:00:00,1,0.68,0
3.7159,52.0,5.788643533123029,1.0410094637223974,777.0,2.451104100946372,34.17,-118.12,2020-10-02 21:00:00,1,0.92,1
3.6094,52.0,5.171014492753623,1.0666666666666669,966.0,2.8,34.17,-118.13,2020-10-02 22:00:00,1,0.93,1
3.9688,52.0,5.167173252279635,0.9635258358662614,996.0,3.027355623100304,34.18,-118.14,2020-10-02 23:00:00,1,0.91,1
4.0524,52.0,5.291666666666667,0.9642857142857144,1681.0,3.3353174603174605,34.17,-118.14,2020-10-03 00:00:00,1,0.81,1
2.7148,42.0,4.222052067381317,1.0918836140888208,2112.0,3.2343032159264933,34.17,-118.14,2020-10-03 01:00:00,0,0.74,0
3.3068,50.0,4.622291021671827,1.0092879256965943,1000.0,3.095975232198142,34.18,-118.14,2020-10-03 02:00:00,0,0.72,0
2.3,40.0,3.818840579710145,0.9094202898550724,1056.0,3.8260869565217392,34.17,-118.14,2020-10-03 03:00:00,0,0.26,0
