hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,y_pred,y_pred_proba,is_canceled,timestamp
0,148,2016,6,23,2,0,3,1,0.0,0,0,135,6,3,0,0,0,0,1,0,0,9.0,,0,3,100.8,0,0,1,0.6679762283559751,0,2016-06-01
0,150,2016,6,23,2,0,3,2,0.0,0,0,81,6,3,0,0,0,0,0,0,0,9.0,,0,2,106.2,0,1,0,0.364871329352972,1,2016-06-01
0,118,2016,6,23,2,0,3,2,0.0,0,3,15,6,3,0,0,0,0,0,0,0,9.0,,0,2,116.1,0,0,1,0.5261284778721692,1,2016-06-01
0,13,2016,6,23,2,0,3,2,0.0,0,0,46,6,3,0,0,0,3,3,0,0,9.0,,0,2,152.67,0,0,1,0.5153861273000151,1,2016-06-01
0,129,2016,6,23,2,0,3,2,0.0,0,0,51,6,3,0,0,0,0,0,0,0,9.0,,0,2,126.9,0,0,1,0.5261284778721692,1,2016-06-01
0,330,2016,6,23,2,0,2,2,0.0,0,0,135,4,3,0,0,0,0,0,0,1,1.0,,0,2,62.0,0,0,1,0.9837056854776397,1,2016-06-01
0,112,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,0,0,192.0,,0,3,120.0,0,0,1,0.6303645600389977,1,2016-06-01
0,23,2016,6,23,2,1,3,2,0.0,0,0,30,6,3,0,0,0,3,3,0,0,9.0,,0,2,140.9,0,0,1,0.53925764124129,1,2016-06-01
0,188,2016,6,23,2,0,3,2,0.0,0,0,135,4,3,0,1,0,0,0,0,1,1.0,,0,2,65.0,0,0,1,0.9979665718176615,1,2016-06-01
0,118,2016,6,23,2,0,3,2,0.0,0,3,15,6,3,0,0,0,0,0,0,0,9.0,,0,2,116.1,0,0,1,0.5261284778721692,1,2016-06-01
0,129,2016,6,23,2,0,3,2,0.0,0,0,51,6,3,0,0,0,0,0,0,0,9.0,,0,2,126.9,0,0,1,0.5261284778721692,1,2016-06-01
0,330,2016,6,23,2,0,2,2,0.0,0,0,135,4,3,0,0,0,0,0,0,1,1.0,,0,2,62.0,0,0,1,0.9837056854776397,1,2016-06-01
0,30,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,0,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
0,133,2016,6,23,2,1,3,2,0.0,0,3,76,6,3,0,0,0,0,0,0,0,9.0,,0,2,104.76,0,1,0,0.2542109828191408,1,2016-06-01
0,143,2016,6,23,2,2,3,2,0.0,0,0,29,6,3,0,0,0,0,0,0,0,9.0,,0,2,100.3,0,0,1,0.5134583613568238,1,2016-06-01
0,330,2016,6,23,2,0,2,2,0.0,0,0,135,4,3,0,0,0,0,0,0,1,1.0,,0,2,62.0,0,0,1,0.9837056854776397,1,2016-06-01
0,143,2016,6,23,2,2,3,2,0.0,0,0,29,6,3,0,0,0,0,0,0,0,9.0,,0,2,100.3,0,0,1,0.5134583613568238,1,2016-06-01
0,118,2016,6,23,2,0,3,2,0.0,0,3,15,6,3,0,0,0,0,0,0,0,9.0,,0,2,116.1,0,0,1,0.5261284778721692,1,2016-06-01
0,114,2016,6,23,2,0,3,2,0.0,0,0,15,6,3,0,0,0,3,3,0,0,9.0,,0,2,140.4,0,0,1,0.5463017027843285,1,2016-06-01
0,116,2016,6,23,2,1,3,2,0.0,0,0,76,3,1,0,0,0,3,3,0,0,14.0,,0,3,127.5,0,0,0,0.3049489312172737,1,2016-06-01
0,30,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,0,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
0,112,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,0,0,192.0,,0,3,120.0,0,0,1,0.6303645600389977,1,2016-06-01
0,145,2016,6,23,2,0,3,1,0.0,0,0,81,6,3,0,0,0,0,0,0,0,9.0,,0,2,95.4,0,0,1,0.6401100420709663,1,2016-06-01
0,120,2016,6,23,2,0,3,3,0.0,0,0,81,6,3,0,0,0,3,3,0,0,9.0,,0,2,159.3,0,1,0,0.34957742725727436,1,2016-06-01
0,130,2016,6,23,2,0,3,3,0.0,0,0,29,6,3,0,0,0,0,0,0,0,9.0,,0,2,159.3,0,0,1,0.5261284778721692,1,2016-06-01
0,112,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,0,0,192.0,,0,3,120.0,0,0,1,0.6303645600389977,1,2016-06-01
0,147,2016,6,23,2,0,3,3,0.0,0,0,135,5,3,0,0,0,0,0,0,0,118.0,,0,2,124.0,0,0,1,0.640653468893596,1,2016-06-01
0,112,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,0,0,192.0,,0,3,120.0,0,1,1,0.5049266123933244,1,2016-06-01
0,151,2016,6,23,2,0,3,2,0.0,0,3,81,6,3,0,0,0,0,0,0,0,9.0,,0,2,95.4,0,0,1,0.6401100420709663,0,2016-06-01
0,147,2016,6,23,2,0,3,3,0.0,0,0,135,5,3,0,0,0,0,0,0,0,118.0,,0,2,124.0,0,1,1,0.5510995048796751,1,2016-06-01
0,130,2016,6,23,2,0,3,2,0.0,0,3,43,6,3,0,0,0,0,0,0,0,9.0,,0,2,116.1,0,0,1,0.5261284778721692,1,2016-06-01
0,22,2016,6,23,2,0,3,2,0.0,0,0,81,6,3,0,0,0,3,3,0,0,9.0,,0,2,149.33,0,0,1,0.6298575325320589,1,2016-06-01
0,188,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,1,0,118.0,,0,2,80.75,0,0,1,0.5025804440674144,1,2016-06-01
0,118,2016,6,23,2,0,3,3,0.0,0,0,15,6,3,0,0,0,3,3,0,0,9.0,,0,2,159.3,0,0,1,0.5463017027843285,1,2016-06-01
0,111,2016,6,23,2,1,3,2,0.0,0,0,56,6,3,0,0,0,3,3,0,0,9.0,,0,2,132.6,0,0,1,0.5463017027843285,1,2016-06-01
0,147,2016,6,23,2,0,3,2,0.0,0,0,135,5,3,0,0,0,0,0,0,0,118.0,,0,2,95.0,0,0,1,0.6288855453583512,1,2016-06-01
0,62,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,32,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
0,30,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,0,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
0,129,2016,6,23,2,0,3,2,0.0,0,0,51,6,3,0,0,0,0,0,0,0,9.0,,0,2,126.9,0,0,1,0.5261284778721692,1,2016-06-01
0,30,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,0,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
0,148,2016,6,23,2,0,3,1,0.0,0,0,135,6,3,0,0,0,0,1,0,0,9.0,,0,3,100.8,0,0,1,0.6679762283559751,0,2016-06-01
0,30,2016,6,23,2,0,2,2,0.0,0,0,135,5,3,0,0,0,0,0,0,1,235.0,,0,2,140.0,0,0,1,0.9841721365890586,1,2016-06-01
