id,y_true
60000,2945.0
60001,2966.0
60002,1833.0
60003,2973.0
60004,4878.0
60005,4032.0
60006,6396.0
60007,3960.0
60008,1538.0
60009,3418.0
60010,3820.0
60011,857.0
60012,3140.0
60013,3237.0
60014,5770.0
60015,6280.0
60016,1131.0
60017,6447.0
60018,4245.0
60019,2519.0
60020,1856.0
60021,1492.0
60022,4816.0
60023,6702.0
60024,7113.0
60025,4445.0
60026,5083.0
60027,9920.0
60028,6727.0
60029,8573.0
60030,5036.0
60031,3999.0
60032,920.0
60033,816.0
60034,3297.0
60035,4587.0
60036,4268.0
60037,15049.0
60038,1443.0
60039,3599.0
60040,1939.0
60041,4102.0
60042,4357.0
60043,8168.0
60044,1058.0
60045,8817.0
60046,4660.0
60047,2570.0
60048,2147.0
60049,12384.0
60050,8950.0
60051,8771.0
60052,7506.0
60053,5373.0
60054,7487.0
60055,4697.0
60056,3768.0
60057,3319.0
60058,12054.0
60059,4775.0
60060,985.0
60061,2381.0
60062,1493.0
60063,592.0
60064,6573.0
60065,4380.0
60066,3144.0
60067,1066.0
60068,1053.0
60069,11847.0
60070,6745.0
60071,1646.0
60072,22850.0
60073,3019.0
60074,3317.0
60075,925.0
60076,1583.0
60077,2927.0
60078,6566.0
60079,2660.0
60080,2877.0
60081,1504.0
60082,10539.0
60083,5194.0
60084,2206.0
60085,1492.0
60086,4274.0
60087,7763.0
60088,7141.0
60089,10121.0
60090,8229.0
60091,2530.0
60092,3179.0
60093,3905.0
60094,273.0
60095,2474.0
60096,2161.0
60097,5195.0
60098,6516.0
60099,2952.0
60100,2231.0
60101,3949.0
60102,6414.0
60103,7488.0
60104,5263.0
60105,4492.0
60106,9032.0
60107,1279.0
60108,9309.0
60109,2777.0
60110,2859.0
60111,4494.0
60112,4241.0
60113,13132.0
60114,3970.0
60115,4780.0
60116,4576.0
60117,710.0
60118,1321.0
60119,1172.0
60120,482.0
60121,7311.0
60122,3381.0
60123,13877.0
60124,4033.0
60125,1198.0
60126,2401.0
60127,9080.0
60128,7490.0
60129,2403.0
60130,7819.0
60131,5704.0
60132,9264.0
60133,5422.0
60134,9457.0
60135,1496.0
60136,7012.0
60137,14334.0
60138,6947.0
60139,2847.0
60140,6630.0
60141,6349.0
60142,3643.0
60143,11143.0
60144,1300.0
60145,7562.0
60146,4187.0
60147,6378.0
60148,1494.0
60149,5385.0
60150,17779.0
60151,4894.0
60152,2261.0
60153,4154.0
60154,1412.0
60155,3559.0
60156,5976.0
60157,2256.0
60158,2683.0
60159,6797.0
60160,1573.0
60161,822.0
60162,4791.0
60163,3035.0
60164,1079.0
60165,2136.0
60166,3154.0
60167,2846.0
60168,1758.0
60169,4204.0
60170,12083.0
60171,3851.0
60172,3354.0
60173,2867.0
60174,5191.0
60175,4179.0
60176,14880.0
60177,2350.0
60178,5850.0
60179,1640.0
60180,4091.0
60181,6329.0
60182,4133.0
60183,4499.0
60184,15953.0
60185,9919.0
60186,6853.0
60187,20590.0
60188,2753.0
60189,3928.0
60190,6438.0
60191,7394.0
60192,2258.0
60193,1700.0
60194,10441.0
60195,7837.0
60196,4229.0
60197,5621.0
60198,1078.0
60199,2680.0
60200,11418.0
60201,968.0
60202,4608.0
60203,2630.0
60204,8165.0
60205,5336.0
60206,1326.0
60207,9415.0
60208,7726.0
60209,7442.0
60210,9874.0
60211,5873.0
60212,4482.0
60213,12171.0
60214,3912.0
60215,8678.0
60216,2143.0
60217,3135.0
60218,2506.0
60219,3588.0
60220,6333.0
60221,1680.0
60222,6191.0
60223,2191.0
60224,5661.0
60225,4150.0
60226,3505.0
60227,2001.0
60228,4057.0
60229,5553.0
60230,7879.0
60231,9362.0
60232,2757.0
60233,8077.0
60234,1964.0
60235,2447.0
60236,6867.0
60237,3946.0
60238,2800.0
60239,8646.0
60240,9079.0
60241,1555.0
60242,7262.0
60243,6813.0
60244,4346.0
60245,3750.0
60246,2687.0
60247,3748.0
60248,2944.0
60249,3373.0
60250,2952.0
60251,2731.0
60252,5175.0
60253,1560.0
60254,11905.0
60255,3055.0
60256,2439.0
60257,2857.0
60258,2961.0
60259,4614.0
60260,6077.0
60261,2563.0
60262,5707.0
60263,3738.0
60264,4611.0
60265,3436.0
60266,1859.0
60267,3307.0
60268,4111.0
60269,2455.0
60270,2851.0
60271,7322.0
60272,1836.0
60273,4813.0
60274,2321.0
60275,6494.0
60276,1957.0
60277,7382.0
60278,1432.0
60279,10851.0
60280,8041.0
60281,1820.0
60282,2825.0
60283,3426.0
60284,4229.0
60285,6628.0
60286,6562.0
60287,2161.0
60288,3694.0
60289,2652.0
60290,5084.0
60291,5102.0
60292,10815.0
60293,3040.0
60294,13493.0
60295,4003.0
60296,2274.0
60297,8250.0
60298,3295.0
60299,7111.0
60300,4390.0
60301,3864.0
60302,3416.0
60303,4065.0
60304,3593.0
60305,1410.0
60306,3957.0
60307,3837.0
60308,5438.0
60309,6382.0
60310,3535.0
60311,2436.0
60312,3431.0
60313,2094.0
60314,4686.0
60315,2243.0
60316,10556.0
60317,1392.0
60318,3130.0
60319,1784.0
60320,2033.0
60321,4281.0
60322,1545.0
60323,8764.0
60324,12967.0
60325,1455.0
60326,3383.0
60327,8970.0
60328,4292.0
60329,5207.0
60330,15293.0
60331,9222.0
60332,854.0
60333,2422.0
60334,9771.0
60335,11410.0
60336,1981.0
60337,1678.0
60338,3353.0
60339,6588.0
60340,1968.0
60341,4174.0
60342,4040.0
60343,872.0
60344,4829.0
60345,6984.0
60346,3826.0
60347,14223.0
60348,6846.0
60349,6266.0
60350,823.0
60351,2044.0
60352,5647.0
60353,1212.0
60354,3285.0
60355,2912.0
60356,4199.0
60357,2297.0
60358,3925.0
60359,2082.0
60360,2607.0
60361,6287.0
60362,5125.0
60363,5436.0
60364,4569.0
60365,3057.0
60366,3616.0
60367,4698.0
60368,2140.0
60369,4628.0
60370,4019.0
60371,7751.0
60372,2069.0
60373,2085.0
60374,1370.0
60375,5395.0
60376,1037.0
60377,2045.0
60378,1612.0
60379,1614.0
