car_age,km_driven,price_new,accident_count,door_count,transmission,fuel,y_pred,timestamp
16.0,60060.0,33817.0,2.0,5.0,1.0,2.0,3577.0,2017-02-16 16:00:00.000
16.0,156689.0,41736.0,1.0,5.0,3.0,2.0,2057.0,2017-02-16 16:00:33.600
19.0,171909.0,29287.0,4.0,3.0,2.0,2.0,345.0,2017-02-16 16:01:07.200
16.0,139319.0,39779.0,1.0,3.0,2.0,2.0,3330.0,2017-02-16 16:01:40.800
4.0,157391.0,31936.0,3.0,5.0,2.0,1.0,4147.0,2017-02-16 16:02:14.400
17.0,48308.0,36901.0,4.0,3.0,2.0,1.0,3219.0,2017-02-16 16:02:48.000
12.0,102433.0,37764.0,2.0,4.0,3.0,2.0,2985.0,2017-02-16 16:03:21.600
13.0,166597.0,34853.0,1.0,5.0,2.0,2.0,2438.0,2017-02-16 16:03:55.200
19.0,110424.0,19009.0,4.0,5.0,2.0,2.0,-401.0,2017-02-16 16:04:28.800
3.0,107003.0,31293.0,2.0,5.0,2.0,1.0,7580.0,2017-02-16 16:05:02.400
10.0,109706.0,38011.0,1.0,5.0,2.0,1.0,6185.0,2017-02-16 16:05:36.000
7.0,84353.0,27956.0,1.0,3.0,2.0,1.0,7641.0,2017-02-16 16:06:09.600
17.0,71672.0,28946.0,4.0,4.0,2.0,2.0,1299.0,2017-02-16 16:06:43.200
2.0,161268.0,18170.0,3.0,5.0,3.0,1.0,2609.0,2017-02-16 16:07:16.800
16.0,111185.0,37520.0,3.0,5.0,1.0,1.0,3235.0,2017-02-16 16:07:50.400
8.0,56235.0,27020.0,1.0,5.0,2.0,1.0,7044.0,2017-02-16 16:08:24.000
12.0,88141.0,23844.0,1.0,4.0,3.0,1.0,3766.0,2017-02-16 16:08:57.600
1.0,34077.0,39097.0,1.0,3.0,2.0,2.0,20020.0,2017-02-16 16:09:31.200
12.0,104035.0,26956.0,1.0,5.0,2.0,1.0,3999.0,2017-02-16 16:10:04.800
15.0,51603.0,43391.0,5.0,4.0,1.0,1.0,3828.0,2017-02-16 16:10:38.400
12.0,58000.0,29216.0,4.0,4.0,2.0,1.0,3251.0,2017-02-16 16:11:12.000
5.0,66008.0,27795.0,1.0,4.0,1.0,1.0,9890.0,2017-02-16 16:11:45.600
5.0,23978.0,43817.0,1.0,4.0,1.0,1.0,18103.0,2017-02-16 16:12:19.200
20.0,111937.0,40939.0,2.0,5.0,2.0,1.0,2684.0,2017-02-16 16:12:52.800
16.0,75130.0,41006.0,1.0,5.0,1.0,1.0,5989.0,2017-02-16 16:13:26.400
10.0,137317.0,41147.0,1.0,2.0,3.0,2.0,5589.0,2017-02-16 16:14:00.000
7.0,177765.0,35968.0,2.0,4.0,2.0,1.0,4746.0,2017-02-16 16:14:33.600
5.0,126794.0,35246.0,1.0,5.0,1.0,1.0,8082.0,2017-02-16 16:15:07.200
1.0,137426.0,32378.0,3.0,5.0,1.0,1.0,6967.0,2017-02-16 16:15:40.800
7.0,138543.0,34892.0,2.0,5.0,2.0,1.0,5132.0,2017-02-16 16:16:14.400
6.0,115288.0,42215.0,1.0,4.0,1.0,2.0,9153.0,2017-02-16 16:16:48.000
12.0,44793.0,19254.0,2.0,4.0,1.0,1.0,4271.0,2017-02-16 16:17:21.600
16.0,189478.0,42096.0,1.0,3.0,2.0,2.0,2920.0,2017-02-16 16:17:55.200
2.0,66535.0,30722.0,3.0,2.0,2.0,2.0,8137.0,2017-02-16 16:18:28.800
8.0,111495.0,19827.0,4.0,5.0,3.0,1.0,1083.0,2017-02-16 16:19:02.400
15.0,85961.0,24593.0,2.0,5.0,1.0,2.0,2020.0,2017-02-16 16:19:36.000
13.0,79796.0,36239.0,1.0,4.0,3.0,2.0,4531.0,2017-02-16 16:20:09.600
10.0,147634.0,35735.0,1.0,4.0,1.0,1.0,5400.0,2017-02-16 16:20:43.200
15.0,50665.0,35137.0,1.0,3.0,2.0,1.0,6286.0,2017-02-16 16:21:16.800
11.0,114925.0,23552.0,1.0,4.0,2.0,1.0,3889.0,2017-02-16 16:21:50.400
10.0,142656.0,29135.0,1.0,5.0,2.0,1.0,4212.0,2017-02-16 16:22:24.000
13.0,28316.0,42664.0,2.0,5.0,1.0,1.0,7634.0,2017-02-16 16:22:57.600
12.0,22611.0,32364.0,1.0,4.0,1.0,1.0,8481.0,2017-02-16 16:23:31.200
12.0,43400.0,23853.0,2.0,4.0,2.0,1.0,4559.0,2017-02-16 16:24:04.800
3.0,133919.0,31166.0,3.0,4.0,3.0,1.0,4789.0,2017-02-16 16:24:38.400
10.0,46355.0,21446.0,1.0,4.0,3.0,1.0,5362.0,2017-02-16 16:25:12.000
9.0,138939.0,39476.0,1.0,4.0,2.0,1.0,6350.0,2017-02-16 16:25:45.600
20.0,14501.0,25091.0,4.0,4.0,3.0,1.0,1389.0,2017-02-16 16:26:19.200
9.0,119553.0,45820.0,3.0,3.0,2.0,1.0,5447.0,2017-02-16 16:26:52.800
4.0,47567.0,18524.0,2.0,5.0,2.0,2.0,6049.0,2017-02-16 16:27:26.400
16.0,93206.0,18890.0,1.0,3.0,2.0,1.0,2714.0,2017-02-16 16:28:00.000
17.0,148902.0,41938.0,2.0,5.0,3.0,2.0,977.0,2017-02-16 16:28:33.600
11.0,74036.0,39529.0,1.0,5.0,3.0,1.0,6776.0,2017-02-16 16:29:07.200
9.0,139510.0,31311.0,4.0,4.0,3.0,1.0,1976.0,2017-02-16 16:29:40.800
17.0,76199.0,29883.0,2.0,4.0,2.0,1.0,2995.0,2017-02-16 16:30:14.400
15.0,141219.0,30536.0,3.0,5.0,3.0,2.0,403.0,2017-02-16 16:30:48.000
5.0,102330.0,21693.0,2.0,5.0,3.0,1.0,4520.0,2017-02-16 16:31:21.600
19.0,69645.0,28117.0,2.0,4.0,2.0,1.0,2415.0,2017-02-16 16:31:55.200
13.0,92877.0,35594.0,2.0,5.0,3.0,1.0,3555.0,2017-02-16 16:32:28.800
10.0,157022.0,35623.0,2.0,5.0,2.0,1.0,3715.0,2017-02-16 16:33:02.400
10.0,103277.0,34230.0,2.0,2.0,3.0,1.0,5383.0,2017-02-16 16:33:36.000
