id,identifier,work_home_actual
50000,50000,1
50001,50001,1
50002,50002,1
50003,50003,1
50004,50004,1
50005,50005,0
50006,50006,1
50007,50007,1
50008,50008,0
50009,50009,1
50010,50010,0
50011,50011,1
50012,50012,0
50013,50013,1
50014,50014,1
50015,50015,1
50016,50016,1
50017,50017,0
50018,50018,1
50019,50019,1
50020,50020,1
50021,50021,0
50022,50022,1
50023,50023,1
50024,50024,0
50025,50025,1
50026,50026,1
50027,50027,1
50028,50028,1
50029,50029,0
50030,50030,1
50031,50031,1
50032,50032,0
50033,50033,0
50034,50034,0
50035,50035,1
50036,50036,1
50037,50037,1
50038,50038,1
50039,50039,1
50040,50040,0
50041,50041,0
50042,50042,0
50043,50043,1
50044,50044,1
50045,50045,0
50046,50046,1
50047,50047,1
50048,50048,1
50049,50049,0
50050,50050,1
50051,50051,0
50052,50052,1
50053,50053,1
50054,50054,0
50055,50055,1
50056,50056,1
50057,50057,1
50058,50058,0
50059,50059,1
50060,50060,0
50061,50061,0
50062,50062,1
50063,50063,0
50064,50064,1
50065,50065,0
50066,50066,1
50067,50067,1
50068,50068,1
50069,50069,1
50070,50070,0
50071,50071,1
50072,50072,1
50073,50073,0
50074,50074,0
50075,50075,1
50076,50076,1
50077,50077,1
50078,50078,1
50079,50079,0
50080,50080,0
50081,50081,1
50082,50082,0
50083,50083,0
50084,50084,0
50085,50085,0
50086,50086,1
50087,50087,1
50088,50088,0
50089,50089,1
50090,50090,0
50091,50091,1
50092,50092,1
50093,50093,1
50094,50094,0
50095,50095,0
50096,50096,0
50097,50097,0
50098,50098,0
50099,50099,0
50100,50100,1
50101,50101,1
50102,50102,0
50103,50103,1
50104,50104,1
50105,50105,1
50106,50106,1
50107,50107,0
50108,50108,0
50109,50109,0
50110,50110,1
50111,50111,0
50112,50112,0
50113,50113,0
50114,50114,1
50115,50115,0
50116,50116,0
50117,50117,1
50118,50118,0
50119,50119,0
50120,50120,0
50121,50121,1
50122,50122,0
50123,50123,1
50124,50124,0
50125,50125,0
50126,50126,1
50127,50127,1
50128,50128,1
50129,50129,0
50130,50130,0
50131,50131,1
50132,50132,0
50133,50133,1
50134,50134,1
50135,50135,1
50136,50136,0
50137,50137,0
50138,50138,1
50139,50139,0
50140,50140,0
